driverId,week,hours-logged,miles-logged
155,5,71,1800
185,42,74,400
488,44,62,1600
263,46,69,300
162,18,78,500
567,7,60,1200
517,13,53,100
286,30,69,2100
186,45,60,1200
207,44,69,2400
600,16,62,1600
832,12,61,1700
330,4,63,900
192,48,56,1700
1008,15,66,3400
445,10,80,1000
347,10,56,500
905,12,59,2000
998,36,61,600
64,48,80,3300
517,26,67,800
278,32,72,2200
154,29,55,900
661,14,62,1700
791,31,69,1500
401,38,72,2100
608,11,71,400
184,21,74,400
192,33,73,1900
633,31,74,1800
163,48,61,2500
193,45,71,3100
576,26,75,0
571,43,55,3400
854,51,70,2700
20,45,80,400
932,22,65,0
188,5,64,2600
1005,28,69,3200
1003,22,80,1500
278,45,57,2200
605,25,53,0
433,45,65,200
910,29,57,3400
824,46,61,3300
790,46,76,3600
231,34,72,2500
559,17,55,3500
336,33,51,2200
619,51,70,1900
157,19,56,800
536,5,50,1400
62,3,79,2800
903,18,63,1400
987,35,67,2400
738,29,53,3600
863,11,56,3400
584,28,80,1700
169,33,80,800
701,38,80,1000
447,34,72,4000
422,1,75,2400
702,18,76,1200
11,18,53,3900
976,40,73,3000
325,12,60,1400
847,7,58,2900
500,38,54,2200
238,37,69,2100
367,17,59,900
694,35,77,1300
59,4,61,1700
156,25,63,1700
80,18,76,3700
1002,5,76,1100
245,27,68,1700
735,38,55,300
772,10,71,2000
53,15,78,600
878,29,64,3600
427,36,80,300
726,21,68,700
347,4,68,900
29,23,62,3400
244,9,58,3300
139,34,77,2700
783,50,65,2500
251,43,79,1700
894,52,80,1900
103,49,53,2200
439,14,65,2300
903,42,66,3800
227,40,61,3200
651,6,74,2100
120,7,66,4000
52,46,69,3800
376,30,52,2100
74,43,74,400
345,10,55,100
496,20,73,1600
474,17,76,200
615,12,53,1100
560,19,71,1400
981,12,72,1600
257,16,80,2900
250,50,65,800
798,8,58,3000
481,22,63,3200
83,20,52,2700
268,21,58,2300
115,39,51,500
10,45,58,2600
928,51,62,2100
31,31,63,1400
767,15,80,1900
1007,6,76,1100
476,15,78,500
760,29,75,3700
481,23,66,1500
384,37,61,1500
305,19,50,1400
264,17,59,1700
632,6,67,4000
587,19,55,2400
819,3,57,2000
762,7,64,2900
522,40,58,2000
441,32,68,2200
603,20,58,1400
591,14,68,2400
168,51,57,2000
649,13,72,3300
900,12,68,3400
755,5,70,2600
239,10,63,0
710,52,78,3500
411,8,50,3400
531,3,68,400
545,13,64,2800
938,20,72,3400
373,50,68,2000
917,38,54,3000
565,28,53,200
374,3,54,1600
382,14,50,600
273,19,55,700
862,14,59,3200
386,1,78,1600
497,29,51,700
752,49,60,3500
652,19,67,500
894,52,70,1800
920,4,75,2400
151,34,70,100
778,46,73,2500
52,1,63,0
541,52,63,1100
667,41,62,2300
271,9,79,1200
585,15,71,2900
589,36,61,2800
142,38,52,3000
655,12,68,2600
741,44,76,2200
483,52,75,2300
999,30,54,1000
748,51,80,1600
69,13,62,3500
213,17,59,2300
157,13,64,2600
120,43,78,0
689,6,67,1100
237,10,62,2400
795,4,75,1000
709,2,50,1000
991,29,61,700
413,4,68,500
55,1,72,200
30,22,70,100
1001,47,58,1900
585,1,58,3000
372,30,78,2800
199,48,67,0
748,24,74,0
418,8,71,3500
418,42,64,3800
489,16,69,2800
104,33,60,400
890,48,64,1600
591,30,69,1000
95,30,72,3400
148,46,53,3400
56,52,79,1600
805,34,66,3700
563,14,76,3600
216,48,75,2500
451,34,78,600
757,30,72,3200
801,25,55,1500
606,25,73,1000
122,52,56,900
44,49,61,1000
901,32,59,1400
813,6,55,2800
998,3,66,2700
880,2,60,3400
548,15,65,1400
805,40,70,3400
250,9,69,0
369,31,60,400
1008,12,64,200
551,18,77,900
712,41,60,400
352,33,74,1100
301,11,79,1500
688,9,59,1700
764,4,67,4000
274,23,79,600
68,8,75,2000
330,25,64,4000
272,4,80,2800
1009,49,58,500
525,52,63,1800
706,14,61,1900
810,12,68,1600
43,23,68,2900
979,2,67,4000
262,31,78,1600
654,7,54,1800
605,41,53,1000
237,18,63,200
653,33,64,3800
949,51,65,1200
87,20,62,500
694,5,71,300
667,28,62,3000
855,26,69,2100
367,25,51,2700
457,38,60,2500
927,27,57,200
697,46,57,3300
594,9,52,2000
447,15,68,0
549,1,77,1300
953,20,50,100
175,11,64,600
408,38,57,2200
570,36,54,3800
565,30,62,300
234,27,62,1200
15,10,61,2500
433,11,78,3300
410,5,50,1100
190,4,73,2600
718,31,52,3700
754,35,72,400
366,21,73,3900
280,7,60,1400
158,34,50,1300
436,29,62,1300
355,21,72,1600
428,5,59,1300
213,4,74,2700
75,4,68,2200
46,3,52,2300
40,11,65,4000
175,40,55,2000
853,21,59,1200
466,7,58,3200
582,7,56,3000
557,48,69,1000
754,3,77,1800
347,23,63,3900
1004,48,68,2500
632,36,71,4000
483,52,60,1100
123,10,50,2900
377,31,57,1600
560,30,66,3300
758,14,58,0
651,7,63,1800
403,8,78,2600
881,26,78,1300
872,29,62,3000
326,46,75,2900
787,46,69,2100
339,28,77,3200
985,41,78,4000
35,6,50,3600
315,45,63,500
313,24,79,800
23,35,67,2200
395,48,54,3800
295,16,60,3200
998,27,79,1400
61,17,52,1000
88,21,76,2600
459,11,70,2800
433,14,55,200
233,29,57,600
579,51,69,2500
1002,29,80,800
254,43,56,3800
784,38,65,1600
48,52,76,400
369,32,54,2200
607,16,64,2000
95,44,55,2400
263,51,53,2200
51,12,68,400
604,35,69,2200
861,16,76,1600
411,51,50,2000
62,43,68,300
944,40,63,3400
704,37,63,3900
668,3,62,3000
868,52,53,3900
782,20,66,2200
181,42,65,1700
724,36,56,2700
922,42,71,600
12,46,60,1200
606,39,57,0
793,31,57,2900
156,4,60,1400
558,5,64,2900
674,39,50,1700
252,30,50,3400
648,46,79,2000
203,14,56,0
586,34,70,100
197,43,77,1500
851,31,55,2100
550,42,77,1500
737,38,54,700
527,28,55,3400
1000,29,75,3500
136,33,73,2900
455,13,69,3100
53,18,52,2300
369,41,62,1600
442,1,54,3600
283,11,51,0
391,28,71,2300
289,20,66,3300
349,19,50,2700
566,24,54,1700
746,1,74,900
262,49,77,1200
174,1,61,3900
769,45,56,3400
515,43,52,3800
953,8,55,2900
457,26,53,3300
92,32,68,0
942,2,67,200
305,18,74,3100
90,28,60,3900
768,51,54,3100
860,47,76,1000
802,32,75,1200
981,39,65,3500
214,39,65,3900
44,7,80,2300
471,29,56,2200
335,19,61,0
944,19,71,3300
996,13,65,1700
518,3,52,3200
540,2,51,2200
844,37,70,1900
939,25,77,200
882,39,69,600
737,19,65,3000
934,6,67,2000
520,32,64,3400
374,46,80,0
224,13,50,4000
765,46,63,3100
971,13,55,600
649,11,62,1700
508,39,65,2300
206,43,75,1600
752,7,78,2100
842,30,67,3700
312,5,54,3900
253,25,52,3400
507,49,54,1400
267,48,71,2700
707,17,50,700
644,21,54,500
280,52,78,600
933,43,73,100
78,9,72,2800
663,2,66,2000
207,23,54,1200
573,8,60,400
629,41,76,300
547,21,54,3600
672,20,71,0
437,52,68,3400
998,33,68,3100
419,28,70,1600
788,19,59,1800
634,16,73,600
658,38,67,3000
1003,33,55,300
120,45,59,2300
977,47,71,3100
432,22,51,3800
924,27,60,1500
522,46,78,1400
448,9,75,3700
601,6,64,100
38,50,79,3700
116,6,65,2700
474,15,58,100
574,24,68,1500
495,43,62,1000
15,13,58,100
146,10,78,700
897,27,73,1400
484,15,57,1400
313,23,60,4000
935,31,58,100
19,14,52,1700
512,42,62,3300
168,7,78,3100
36,17,50,900
144,20,55,100
77,15,67,2000
427,22,57,1600
405,20,80,3900
524,49,69,1600
18,26,63,2700
266,30,59,3300
425,48,52,1000
956,46,59,1800
866,26,79,0
332,48,50,2400
776,7,53,3300
524,49,69,200
143,25,61,2700
461,46,74,400
126,43,69,4000
160,15,61,1200
516,10,57,700
51,39,61,0
222,2,52,500
656,38,65,600
778,42,72,4000
591,15,79,2800
277,25,73,1300
455,5,60,1500
522,4,62,3300
382,42,76,500
54,44,52,2300
958,6,79,400
354,6,69,2800
611,42,63,0
194,43,75,2200
458,2,58,1500
1008,31,51,2000
618,51,75,500
193,20,63,3700
524,17,74,2700
79,10,55,3000
905,35,59,3000
135,2,70,500
942,36,58,500
191,11,57,2000
347,15,73,2000
962,12,55,4000
18,42,55,2200
543,28,75,2200
844,16,77,2300
974,12,73,3200
708,4,57,500
327,44,63,3200
808,19,59,3900
501,44,56,500
995,32,72,700
10,11,73,2800
726,19,67,900
149,50,71,2600
798,4,61,2000
770,25,76,3300
350,34,78,3300
399,37,69,3500
475,10,52,700
525,7,67,1200
982,51,63,1000
85,31,52,3600
58,4,60,3200
728,14,53,2100
774,39,56,2400
386,10,77,1200
957,17,65,3700
328,27,65,1100
228,39,60,3200
697,5,75,2300
177,2,77,3200
494,29,60,1500
866,39,52,4000
35,20,79,1300
52,45,53,0
968,1,55,1600
713,19,51,2300
568,28,51,1800
482,14,66,2200
160,39,64,3400
